metric,phase_pct,mean,std,p10,p25,p75,p90,n_videos
right_knee_deg,67.0,149.27,20.66,129.35,145.45,160.86,171.03,21
right_knee_deg,68.0,149.61,20.28,131.09,146.91,161.38,171.08,21
right_knee_deg,69.0,149.94,19.88,132.84,146.91,161.84,171.11,21
right_knee_deg,70.0,150.24,19.41,134.26,146.81,162.29,171.07,21
right_knee_deg,71.0,150.55,18.92,134.87,145.69,162.97,170.99,21
right_knee_deg,72.0,150.85,18.43,135.52,143.99,163.65,170.86,21
right_knee_deg,73.0,151.13,17.95,136.22,142.22,164.34,170.70,21
right_knee_deg,74.0,151.42,17.49,136.91,143.69,164.97,170.53,21
right_knee_deg,75.0,151.68,17.05,137.60,143.95,165.55,170.34,21
right_knee_deg,76.0,151.86,16.72,136.53,144.97,166.12,170.33,21
right_knee_deg,77.0,152.04,16.43,134.59,146.47,166.66,170.51,21
right_knee_deg,78.0,152.05,16.24,135.64,146.53,166.72,170.69,21
right_knee_deg,79.0,152.07,16.13,136.68,146.24,166.78,170.89,21
right_knee_deg,80.0,152.03,16.07,134.26,145.84,166.78,171.09,21
right_knee_deg,81.0,151.90,16.03,131.84,144.82,166.51,171.30,21
right_knee_deg,82.0,151.77,16.03,129.41,143.79,166.23,171.50,21
right_knee_deg,83.0,151.63,16.14,126.93,142.76,165.95,171.70,21
right_knee_deg,84.0,151.59,16.32,124.41,142.18,165.64,171.90,21
right_knee_deg,85.0,151.63,16.58,121.94,141.87,165.53,172.10,21
right_knee_deg,86.0,151.84,16.89,122.58,142.26,165.50,172.34,21
right_knee_deg,87.0,152.06,17.27,124.11,142.66,166.11,172.68,21
right_knee_deg,88.0,152.28,17.68,125.62,142.10,166.67,173.03,21
right_knee_deg,89.0,152.48,18.12,127.13,141.48,167.23,173.33,21
right_knee_deg,90.0,152.65,18.53,128.63,141.74,167.78,173.34,21
right_knee_deg,91.0,152.91,18.93,130.07,142.06,168.27,173.35,21
right_knee_deg,92.0,153.19,19.31,131.43,142.33,168.75,173.36,21
right_knee_deg,93.0,153.35,19.52,130.92,142.41,168.93,173.37,21
right_knee_deg,94.0,153.43,19.70,130.43,142.41,168.85,173.38,21
right_knee_deg,95.0,153.47,19.88,129.99,142.35,168.73,173.51,21
right_knee_deg,96.0,153.44,20.10,128.91,142.28,168.56,173.77,21
right_knee_deg,97.0,153.38,20.33,127.69,142.22,168.39,174.02,21
right_knee_deg,98.0,153.31,20.57,126.47,142.16,168.21,174.28,21
right_knee_deg,99.0,153.24,20.82,125.25,142.10,168.04,174.53,21
right_knee_deg,100.0,153.17,21.08,124.03,142.03,167.87,174.70,21
